Input,Output,Hidden,Target_p,H,p,FtBin,Parse,Iamb,FootNonfin,Nonfin_ft,WordFootRight,WordFootLeft,AllFeetRight,AllFeetLeft,MainRight,MainLeft,WSP_ft
[L L L L L L],[L L1 L L2 L L2],[L (L1) L (L2) (L L2)],0.0,-82.91,-0.73,-2.18,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-52.07,-0.0,-28.66,-0.0,0.0
[L L L L L L],[L L2 L2 L L1 L],[(L L2) (L2) (L L1) L],0.0,-80.94,-0.73,-1.09,-0.0,0.0,-0.0,0.0,-3.26,0.0,-69.43,-0.0,-7.16,-0.0,0.0
[L L L L L L],[L2 L L L1 L2 L2],[(L2 L) (L L1) (L2) (L2)],0.0,-80.65,-0.73,-2.18,0.0,-3.39,-0.0,-0.0,0.0,0.0,-60.75,-0.0,-14.33,-0.0,0.0
[L L L L L L],[L2 L L L1 L L],[(L2) L L (L1 L) L],0.0,-66.97,-0.73,-1.09,-0.0,-3.39,-0.0,0.0,-3.26,0.0,-52.07,-0.0,-7.16,-0.0,0.0
[L L L L L L],[L2 L L1 L L L2],[(L2) L (L1 L) L (L2)],0.0,-80.65,-0.73,-2.18,-0.0,-3.39,-0.0,-0.0,0.0,0.0,-60.75,-0.0,-14.33,-0.0,0.0
[L L L L L L],[L L1 L L2 L L],[(L L1) L (L2 L) L],0.0,-78.69,-0.73,0.0,-0.0,-3.39,-0.0,0.0,-3.26,0.0,-43.39,-0.0,-28.66,0.0,0.0
[L L L L L L],[L1 L L L L2 L],[(L1 L) L (L L2) L],0.0,-78.69,-0.73,0.0,-0.0,-3.39,-0.0,0.0,-3.26,0.0,-43.39,-0.0,-28.66,0.0,0.0
[L L L L L L],[L L2 L2 L L1 L2],[(L L2) (L2) (L L1) (L2)],0.0,-78.78,-0.73,-2.18,0.0,0.0,-0.0,-0.0,0.0,0.0,-69.43,-0.0,-7.16,-0.0,0.0
[L L L L L L],[L L L1 L2 L2 L],[L (L L1) (L2) (L2) L],0.0,-79.01,-0.73,-2.18,-0.0,0.0,-0.0,0.0,-3.26,-0.0,-52.07,-0.0,-21.49,-0.0,0.0
[L L L L L L],[L2 L L2 L L1 L],[(L2 L) (L2 L) (L1) L],0.0,-79.04,-0.73,-1.09,-0.0,-6.77,-0.0,0.0,-3.26,0.0,-60.75,-0.0,-7.16,-0.0,0.0
[L L L L L L],[L2 L L L1 L L],[(L2) L (L L1) L L],0.0,-79.43,-0.73,-1.09,-0.0,0.0,-0.0,0.0,-3.26,0.0,-60.75,-0.0,-14.33,-0.0,0.0
[L L L L L L],[L L2 L L1 L2 L],[(L L2) (L L1) (L2) L],0.0,-79.43,-0.73,-1.09,-0.0,0.0,-0.0,0.0,-3.26,0.0,-60.75,-0.0,-14.33,-0.0,0.0
[L L L L L L],[L L2 L L1 L2 L2],[L (L2) L (L1) (L2) (L2)],0.0,-79.45,-0.73,-4.37,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-60.75,-0.0,-14.33,-0.0,0.0
[L L L L L L],[L2 L L L1 L2 L],[(L2) L (L L1) (L2 L)],0.0,-79.56,-0.73,-1.09,-0.0,-3.39,-0.0,-0.0,0.0,0.0,-60.75,-0.0,-14.33,-0.0,0.0
[L L L L L L],[L2 L L1 L L L2],[(L2) L (L1 L) (L L2)],0.0,-79.56,-0.73,-1.09,-0.0,-3.39,-0.0,-0.0,0.0,0.0,-60.75,-0.0,-14.33,-0.0,0.0
[L L L L L L],[L1 L L L L2 L],[(L1 L) L L (L2) L],0.0,-79.78,-0.73,-1.09,-0.0,-3.39,-0.0,0.0,-3.26,0.0,-43.39,-0.0,-28.66,0.0,0.0
[L L L L L L],[L L1 L L2 L L],[L (L1) L (L2 L) L],0.0,-79.78,-0.73,-1.09,-0.0,-3.39,-0.0,0.0,-3.26,-0.0,-43.39,-0.0,-28.66,-0.0,0.0
[L L L L L L],[L L2 L2 L L1 L2],[(L L2) (L2) L (L1) (L2)],0.0,-79.87,-0.73,-3.27,-0.0,0.0,-0.0,-0.0,0.0,0.0,-69.43,-0.0,-7.16,-0.0,0.0
[L L L L L L],[L2 L L L2 L1 L2],[(L2) L (L L2) (L1) (L2)],0.0,-79.87,-0.73,-3.27,-0.0,0.0,-0.0,-0.0,0.0,0.0,-69.43,-0.0,-7.16,-0.0,0.0
[L L L L L L],[L L2 L2 L L1 L2],[L (L2) (L2) (L L1) (L2)],0.0,-79.87,-0.73,-3.27,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-69.43,-0.0,-7.16,-0.0,0.0
[L L L L L L],[L1 L L L2 L L2],[(L1 L) L (L2 L) (L2)],0.0,-79.91,-0.73,-1.09,-0.0,-6.77,-0.0,-0.0,0.0,0.0,-43.39,-0.0,-28.66,0.0,0.0
[L L L L L L],[L L L1 L2 L2 L],[L L (L1) (L2) (L2) L],0.0,-80.1,-0.73,-3.27,-0.0,0.0,-0.0,0.0,-3.26,-0.0,-52.07,-0.0,-21.49,-0.0,0.0
[L L L L L L],[L L1 L L2 L2 L2],[L (L1 L) (L2) (L2) (L2)],0.0,-80.23,-0.73,-3.27,-0.0,-3.39,-0.0,-0.0,0.0,-0.0,-52.07,-0.0,-21.49,-0.0,0.0
[L L L L L L],[L L2 L2 L2 L L1],[(L L2) (L2) (L2) (L L1)],0.0,-80.29,-0.73,-2.18,0.0,0.0,-0.0,-0.0,0.0,0.0,-78.11,-0.0,0.0,-0.0,0.0
[L L L L L L],[L2 L2 L L L L1],[(L2) (L2) L L (L L1)],0.0,-80.29,-0.73,-2.18,-0.0,0.0,-0.0,-0.0,0.0,0.0,-78.11,-0.0,0.0,-0.0,0.0
[L L L L L L],[L2 L L2 L L2 L1],[(L2) (L L2) (L L2) (L1)],0.0,-80.29,-0.73,-2.18,0.0,0.0,-0.0,-0.0,0.0,0.0,-78.11,-0.0,0.0,-0.0,0.0
[L L L L L L],[L1 L L L L L2],[(L1) L L L (L L2)],0.0,-80.31,-0.73,-1.09,-0.0,0.0,-0.0,-0.0,0.0,0.0,-43.39,-0.0,-35.82,0.0,0.0
[L L L L L L],[L L2 L L1 L2 L],[(L L2) L (L1) (L2) L],0.0,-80.52,-0.73,-2.18,-0.0,0.0,-0.0,0.0,-3.26,0.0,-60.75,-0.0,-14.33,-0.0,0.0
[L L L L L L],[L L2 L L1 L2 L],[L (L2) (L L1) (L2) L],0.0,-80.52,-0.73,-2.18,-0.0,0.0,-0.0,0.0,-3.26,-0.0,-60.75,-0.0,-14.33,-0.0,0.0
[L L L L L L],[L2 L L L1 L L],[(L2) L L (L1) L L],0.0,-80.52,-0.73,-2.18,-0.0,0.0,-0.0,0.0,-3.26,0.0,-60.75,-0.0,-14.33,-0.0,0.0
[L L L L L L],[L L2 L1 L L2 L2],[(L L2) (L1 L) (L2) (L2)],0.0,-80.65,-0.73,-2.18,0.0,-3.39,-0.0,-0.0,0.0,0.0,-60.75,-0.0,-14.33,-0.0,0.0
[L L L L L L],[L2 L L L1 L2 L],[(L2) L L (L1) (L2 L)],0.0,-80.65,-0.73,-2.18,-0.0,-3.39,-0.0,-0.0,0.0,0.0,-60.75,-0.0,-14.33,-0.0,0.0
[L L L L L L],[L L1 L L2 L L2],[L (L1) (L L2) L (L2)],0.0,-82.91,-0.73,-2.18,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-52.07,-0.0,-28.66,-0.0,0.0
[L L L L L L],[L L1 L L2 L L2],[(L L1) L (L2) L (L2)],0.0,-82.91,-0.73,-2.18,-0.0,0.0,-0.0,-0.0,0.0,0.0,-52.07,-0.0,-28.66,0.0,0.0
[L L L L L L],[L2 L L1 L L2 L],[(L2) L (L1 L) (L2 L)],0.0,-82.94,-0.73,-1.09,-0.0,-6.77,-0.0,-0.0,0.0,0.0,-60.75,-0.0,-14.33,-0.0,0.0
[L L L L L L],[L2 L L L2 L1 L],[(L2) L L (L2) (L1) L],0.0,-83.13,-0.73,-3.27,-0.0,0.0,-0.0,0.0,-3.26,0.0,-69.43,-0.0,-7.16,-0.0,0.0
[L L L L L L],[L L1 L2 L L L2],[L (L1) (L2 L) (L L2)],0.0,-85.21,-0.73,-1.09,-0.0,-3.39,-0.0,-0.0,0.0,-0.0,-52.07,-0.0,-28.66,-0.0,0.0
[L L L L L L],[L L1 L2 L L L2],[(L L1) (L2 L) L (L2)],0.0,-85.21,-0.73,-1.09,-0.0,-3.39,-0.0,-0.0,0.0,0.0,-52.07,-0.0,-28.66,0.0,0.0
[L L L L L L],[L1 L L L2 L L2],[(L1 L) L (L2) (L L2)],0.0,-85.21,-0.73,-1.09,-0.0,-3.39,-0.0,-0.0,0.0,0.0,-52.07,-0.0,-28.66,0.0,0.0
[L L L L L L],[L L1 L L2 L2 L],[L (L1) (L L2) (L2 L)],0.0,-85.21,-0.73,-1.09,-0.0,-3.39,-0.0,-0.0,0.0,-0.0,-52.07,-0.0,-28.66,-0.0,0.0
[L L L L L L],[L L1 L L2 L2 L],[(L L1) L (L2) (L2 L)],0.0,-85.21,-0.73,-1.09,-0.0,-3.39,-0.0,-0.0,0.0,0.0,-52.07,-0.0,-28.66,0.0,0.0
[L L L L L L],[L1 L L L2 L L2],[(L1 L) (L L2) L (L2)],0.0,-85.21,-0.73,-1.09,-0.0,-3.39,-0.0,-0.0,0.0,0.0,-52.07,-0.0,-28.66,0.0,0.0
[L L L L L L],[L2 L L2 L L1 L],[(L2 L) (L2) L (L1) L],0.0,-85.42,-0.73,-2.18,-0.0,-3.39,-0.0,0.0,-3.26,0.0,-69.43,-0.0,-7.16,-0.0,0.0
[L L L L L L],[L2 L L2 L L1 L],[(L2) L (L2 L) (L1) L],0.0,-85.42,-0.73,-2.18,-0.0,-3.39,-0.0,0.0,-3.26,0.0,-69.43,-0.0,-7.16,-0.0,0.0
[L L L L L L],[L L2 L2 L1 L L],[L (L2) (L2) (L1 L) L],0.0,-85.42,-0.73,-2.18,-0.0,-3.39,-0.0,0.0,-3.26,-0.0,-69.43,-0.0,-7.16,-0.0,0.0
[L L L L L L],[L L2 L1 L L L2],[L (L2) (L1) L L (L2)],0.0,-85.52,-0.73,-3.27,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-60.75,-0.0,-21.49,-0.0,0.0
[L L L L L L],[L2 L L2 L1 L L2],[(L2 L) (L2) (L1 L) (L2)],0.0,-85.55,-0.73,-2.18,0.0,-6.77,-0.0,-0.0,0.0,0.0,-69.43,-0.0,-7.16,-0.0,0.0
[L L L L L L],[L L1 L L2 L L],[L (L1) L (L2) L L],0.0,-86.17,-0.73,-2.18,-0.0,0.0,-0.0,0.0,-3.26,-0.0,-52.07,-0.0,-28.66,-0.0,0.0
[L L L L L L],[L2 L L1 L L2 L],[(L2 L) (L1 L) (L2) L],0.0,-86.2,-0.73,-1.09,-0.0,-6.77,-0.0,0.0,-3.26,0.0,-60.75,-0.0,-14.33,-0.0,0.0
[L L L L L L],[L L1 L2 L L L2],[L (L1) (L2 L) L (L2)],0.0,-86.3,-0.73,-2.18,-0.0,-3.39,-0.0,-0.0,0.0,-0.0,-52.07,-0.0,-28.66,-0.0,0.0
[L L L L L L],[L L1 L L2 L2 L],[L (L1) L (L2) (L2 L)],0.0,-86.3,-0.73,-2.18,-0.0,-3.39,-0.0,-0.0,0.0,-0.0,-52.07,-0.0,-28.66,-0.0,0.0
[L L L L L L],[L1 L L L2 L L2],[(L1 L) L (L2) L (L2)],0.0,-86.3,-0.73,-2.18,-0.0,-3.39,-0.0,-0.0,0.0,0.0,-52.07,-0.0,-28.66,0.0,0.0
[L L L L L L],[L L2 L1 L L L],[(L L2) (L1) L L L],0.0,-86.59,-0.73,-1.09,-0.0,0.0,-0.0,0.0,-3.26,0.0,-60.75,-0.0,-21.49,-0.0,0.0
[L L L L L L],[L L2 L1 L L2 L],[(L L2) (L1) L (L2 L)],0.0,-86.72,-0.73,-1.09,-0.0,-3.39,-0.0,-0.0,0.0,0.0,-60.75,-0.0,-21.49,-0.0,0.0
[L L L L L L],[L2 L L1 L L L2],[(L2 L) (L1) L (L L2)],0.0,-86.72,-0.73,-1.09,-0.0,-3.39,-0.0,-0.0,0.0,0.0,-60.75,-0.0,-21.49,-0.0,0.0
[L L L L L L],[L2 L L L1 L2 L2],[(L2) L (L L1) (L2) (L2)],0.0,-87.03,-0.73,-3.27,-0.0,0.0,-0.0,-0.0,0.0,0.0,-69.43,-0.0,-14.33,-0.0,0.0
[L L L L L L],[L2 L L2 L2 L1 L],[(L2 L) (L2) (L2) (L1 L)],0.0,-87.06,-0.73,-2.18,0.0,-6.77,-0.0,-0.0,0.0,0.0,-78.11,-0.0,0.0,-0.0,0.0
[L L L L L L],[L2 L2 L L2 L L1],[(L2) (L2 L) (L2 L) (L1)],0.0,-87.06,-0.73,-2.18,0.0,-6.77,-0.0,-0.0,0.0,0.0,-78.11,-0.0,0.0,-0.0,0.0
[L L L L L L],[L1 L L L2 L L],[(L1 L) (L L2) L L],0.0,-87.37,-0.73,0.0,-0.0,-3.39,-0.0,0.0,-3.26,0.0,-52.07,-0.0,-28.66,0.0,0.0
[L L L L L L],[L L1 L2 L L L],[(L L1) (L2 L) L L],0.0,-87.37,-0.73,0.0,-0.0,-3.39,-0.0,0.0,-3.26,0.0,-52.07,-0.0,-28.66,0.0,0.0
[L L L L L L],[L2 L L2 L L1 L2],[(L2) (L L2) (L L1) (L2)],0.0,-87.46,-0.73,-2.18,0.0,0.0,-0.0,-0.0,0.0,0.0,-78.11,-0.0,-7.16,-0.0,0.0
[L L L L L L],[L L1 L2 L L2 L],[(L L1) (L2 L) (L2 L)],0.0,-87.5,-0.73,0.0,0.0,-6.77,-0.0,-0.0,0.0,0.0,-52.07,-0.0,-28.66,0.0,0.0
[L L L L L L],[L1 L L2 L L L2],[(L1 L) (L2 L) (L L2)],0.0,-87.5,-0.73,0.0,0.0,-6.77,-0.0,-0.0,0.0,0.0,-52.07,-0.0,-28.66,0.0,0.0
[L L L L L L],[L L1 L L2 L L],[(L L1) L (L2) L L],0.0,-85.08,-0.73,-1.09,-0.0,0.0,-0.0,0.0,-3.26,0.0,-52.07,-0.0,-28.66,0.0,0.0
[L L L L L L],[L L1 L L2 L L],[L (L1) (L L2) L L],0.0,-85.08,-0.73,-1.09,-0.0,0.0,-0.0,0.0,-3.26,-0.0,-52.07,-0.0,-28.66,-0.0,0.0
[L L L L L L],[L2 L L2 L2 L L1],[(L2 L) (L2) (L2) L (L1)],0.0,-84.77,-0.73,-3.27,-0.0,-3.39,-0.0,-0.0,0.0,0.0,-78.11,-0.0,0.0,-0.0,0.0
[L L L L L L],[L2 L L L1 L2 L],[(L2 L) L (L1) (L2) L],0.0,-83.91,-0.73,-2.18,-0.0,-3.39,-0.0,0.0,-3.26,0.0,-60.75,-0.0,-14.33,-0.0,0.0
[L L L L L L],[L L2 L2 L L1 L],[L (L2) (L2) L (L1) L],0.0,-83.13,-0.73,-3.27,-0.0,0.0,-0.0,0.0,-3.26,-0.0,-69.43,-0.0,-7.16,-0.0,0.0
[L L L L L L],[L2 L L2 L L1 L2],[(L2) L (L2 L) (L1) (L2)],0.0,-83.26,-0.73,-3.27,-0.0,-3.39,-0.0,-0.0,0.0,0.0,-69.43,-0.0,-7.16,-0.0,0.0
[L L L L L L],[L L2 L2 L1 L L2],[L (L2) (L2) (L1 L) (L2)],0.0,-83.26,-0.73,-3.27,-0.0,-3.39,-0.0,-0.0,0.0,-0.0,-69.43,-0.0,-7.16,-0.0,0.0
[L L L L L L],[L2 L L2 L L1 L2],[(L2 L) (L2) L (L1) (L2)],0.0,-83.26,-0.73,-3.27,-0.0,-3.39,-0.0,-0.0,0.0,0.0,-69.43,-0.0,-7.16,-0.0,0.0
[L L L L L L],[L L2 L1 L L L2],[(L L2) (L1) L (L L2)],0.0,-83.34,-0.73,-1.09,-0.0,0.0,-0.0,-0.0,0.0,0.0,-60.75,-0.0,-21.49,-0.0,0.0
[L L L L L L],[L1 L L L L L],[(L1) L L L L L],0.0,-83.56,-0.73,-1.09,-0.0,0.0,-0.0,0.0,-3.26,0.0,-43.39,0.0,-35.82,0.0,0.0
[L L L L L L],[L2 L L2 L2 L L1],[(L2 L) (L2) (L2) (L L1)],0.0,-83.68,-0.73,-2.18,0.0,-3.39,-0.0,-0.0,0.0,0.0,-78.11,-0.0,0.0,-0.0,0.0
[L L L L L L],[L2 L L2 L2 L L1],[(L2) (L L2) (L2 L) (L1)],0.0,-83.68,-0.73,-2.18,0.0,-3.39,-0.0,-0.0,0.0,0.0,-78.11,-0.0,0.0,-0.0,0.0
[L L L L L L],[L2 L2 L L L2 L1],[(L2) (L2 L) (L L2) (L1)],0.0,-83.68,-0.73,-2.18,0.0,-3.39,-0.0,-0.0,0.0,0.0,-78.11,-0.0,0.0,-0.0,0.0
[L L L L L L],[L L2 L2 L2 L1 L],[(L L2) (L2) (L2) (L1 L)],0.0,-83.68,-0.73,-2.18,0.0,-3.39,-0.0,-0.0,0.0,0.0,-78.11,-0.0,0.0,-0.0,0.0
[L L L L L L],[L2 L2 L L L1 L],[(L2) (L2) L L (L1 L)],0.0,-83.68,-0.73,-2.18,-0.0,-3.39,-0.0,-0.0,0.0,0.0,-78.11,-0.0,0.0,-0.0,0.0
[L L L L L L],[L1 L L L L2 L],[(L1) L L L (L2 L)],0.0,-83.69,-0.73,-1.09,-0.0,-3.39,-0.0,-0.0,0.0,0.0,-43.39,-0.0,-35.82,0.0,0.0
[L L L L L L],[L L2 L1 L L2 L],[L (L2) (L1 L) (L2) L],0.0,-83.91,-0.73,-2.18,-0.0,-3.39,-0.0,0.0,-3.26,-0.0,-60.75,-0.0,-14.33,-0.0,0.0
[L L L L L L],[L2 L L2 L2 L L1],[(L2) L (L2) (L2 L) (L1)],0.0,-84.77,-0.73,-3.27,-0.0,-3.39,-0.0,-0.0,0.0,0.0,-78.11,-0.0,0.0,-0.0,0.0
[L L L L L L],[L L1 L L2 L L],[(L L1) (L L2) L L],0.0,-83.99,-0.73,0.0,-0.0,0.0,-0.0,0.0,-3.26,0.0,-52.07,-0.0,-28.66,0.0,0.0
[L L L L L L],[L L1 L L2 L L2],[L (L1) L (L2) L (L2)],0.0,-84.0,-0.73,-3.27,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-52.07,-0.0,-28.66,-0.0,0.0
[L L L L L L],[L2 L L1 L L2 L2],[(L2 L) (L1 L) (L2) (L2)],0.0,-84.03,-0.73,-2.18,0.0,-6.77,-0.0,-0.0,0.0,0.0,-60.75,-0.0,-14.33,-0.0,0.0
[L L L L L L],[L L1 L L2 L2 L],[(L L1) (L L2) (L2 L)],0.0,-84.11,-0.73,0.0,0.0,-3.39,-0.0,-0.0,0.0,0.0,-52.07,-0.0,-28.66,0.0,0.0
[L L L L L L],[L L1 L2 L L L2],[(L L1) (L2 L) (L L2)],0.0,-84.11,-0.73,0.0,0.0,-3.39,-0.0,-0.0,0.0,0.0,-52.07,-0.0,-28.66,0.0,0.0
[L L L L L L],[L1 L L L2 L L2],[(L1 L) (L L2) (L L2)],0.0,-84.11,-0.73,0.0,0.0,-3.39,-0.0,-0.0,0.0,0.0,-52.07,-0.0,-28.66,0.0,0.0
[L L L L L L],[L L2 L2 L1 L L],[(L L2) (L2) (L1 L) L],0.0,-84.33,-0.73,-1.09,-0.0,-3.39,-0.0,0.0,-3.26,0.0,-69.43,-0.0,-7.16,-0.0,0.0
[L L L L L L],[L2 L L2 L L1 L],[(L2 L) (L2) (L L1) L],0.0,-84.33,-0.73,-1.09,-0.0,-3.39,-0.0,0.0,-3.26,0.0,-69.43,-0.0,-7.16,-0.0,0.0
[L L L L L L],[L L2 L1 L L L2],[(L L2) (L1) L L (L2)],0.0,-84.43,-0.73,-2.18,-0.0,0.0,-0.0,-0.0,0.0,0.0,-60.75,-0.0,-21.49,-0.0,0.0
[L L L L L L],[L L2 L1 L L L2],[L (L2) (L1) L (L L2)],0.0,-84.43,-0.73,-2.18,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-60.75,-0.0,-21.49,-0.0,0.0
[L L L L L L],[L L2 L2 L2 L1 L],[L (L2) (L2) (L2) (L1 L)],0.0,-84.77,-0.73,-3.27,-0.0,-3.39,-0.0,-0.0,0.0,-0.0,-78.11,-0.0,0.0,-0.0,0.0
[L L L L L L],[L2 L2 L L L2 L1],[(L2) (L2 L) L (L2) (L1)],0.0,-84.77,-0.73,-3.27,-0.0,-3.39,-0.0,-0.0,0.0,0.0,-78.11,-0.0,0.0,-0.0,0.0
[L L L L L L],[L2 L L2 L2 L L1],[(L2 L) (L2) (L2 L) (L1)],0.0,-78.39,-0.73,-2.18,0.0,-6.77,-0.0,-0.0,0.0,0.0,-69.43,-0.0,0.0,-0.0,0.0
[L L L L L L],[L2 L L L1 L L2],[(L2) L L (L1) L (L2)],0.0,-78.35,-0.73,-3.27,-0.0,0.0,-0.0,-0.0,0.0,0.0,-60.75,-0.0,-14.33,-0.0,0.0
[L L L L L L],[L L2 L L1 L2 L2],[(L L2) L (L1) (L2) (L2)],0.0,-78.35,-0.73,-3.27,-0.0,0.0,-0.0,-0.0,0.0,0.0,-60.75,-0.0,-14.33,-0.0,0.0
[L L L L L L],[L L2 L2 L L2 L1],[(L L2) (L2) L (L2) (L1)],0.0,-72.71,-0.73,-3.27,-0.0,0.0,-0.0,-0.0,0.0,0.0,-69.43,-0.0,0.0,-0.0,0.0
[L L L L L L],[L L L1 L2 L L],[L L (L1) (L2) L L],0.0,-70.33,-0.73,-2.18,-0.0,0.0,-0.0,0.0,-3.26,-0.0,-43.39,-0.0,-21.49,-0.0,0.0
[L L L L L L],[L L1 L L2 L L2],[L (L1 L) (L2) L (L2)],0.0,-70.46,-0.73,-2.18,-0.0,-3.39,-0.0,-0.0,0.0,-0.0,-43.39,-0.0,-21.49,-0.0,0.0
[L L L L L L],[L L L1 L2 L2 L],[L L (L1) (L2) (L2 L)],0.0,-70.46,-0.73,-2.18,-0.0,-3.39,-0.0,-0.0,0.0,-0.0,-43.39,-0.0,-21.49,-0.0,0.0
[L L L L L L],[L2 L L2 L L L1],[(L2) (L L2) L (L L1)],0.0,-70.52,-0.73,-1.09,-0.0,0.0,-0.0,-0.0,0.0,0.0,-69.43,-0.0,0.0,-0.0,0.0
[L L L L L L],[L L2 L L1 L L],[L (L2) (L L1) L L],0.0,-70.75,-0.73,-1.09,-0.0,0.0,-0.0,0.0,-3.26,-0.0,-52.07,-0.0,-14.33,-0.0,0.0
[L L L L L L],[L L2 L L1 L L],[(L L2) L (L1) L L],0.0,-70.75,-0.73,-1.09,-0.0,0.0,-0.0,0.0,-3.26,0.0,-52.07,-0.0,-14.33,-0.0,0.0
[L L L L L L],[L L L2 L1 L2 L2],[L L (L2) (L1) (L2) (L2)],0.0,-70.77,-0.73,-4.37,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-52.07,-0.0,-14.33,-0.0,0.0
[L L L L L L],[L L2 L1 L L L2],[(L L2) (L1 L) L (L2)],0.0,-70.88,-0.73,-1.09,-0.0,-3.39,-0.0,-0.0,0.0,0.0,-52.07,-0.0,-14.33,-0.0,0.0
[L L L L L L],[L2 L L L1 L L2],[(L2 L) L (L1) (L L2)],0.0,-70.88,-0.73,-1.09,-0.0,-3.39,-0.0,-0.0,0.0,0.0,-52.07,-0.0,-14.33,-0.0,0.0
[L L L L L L],[L2 L L L1 L L2],[(L2 L) (L L1) L (L2)],0.0,-70.88,-0.73,-1.09,-0.0,-3.39,-0.0,-0.0,0.0,0.0,-52.07,-0.0,-14.33,-0.0,0.0
[L L L L L L],[L L2 L1 L L L2],[L (L2) (L1 L) (L L2)],0.0,-70.88,-0.73,-1.09,-0.0,-3.39,-0.0,-0.0,0.0,-0.0,-52.07,-0.0,-14.33,-0.0,0.0
[L L L L L L],[L L2 L L1 L2 L],[(L L2) L (L1) (L2 L)],0.0,-70.88,-0.73,-1.09,-0.0,-3.39,-0.0,-0.0,0.0,0.0,-52.07,-0.0,-14.33,-0.0,0.0
[L L L L L L],[L L2 L L1 L2 L],[L (L2) (L L1) (L2 L)],0.0,-70.88,-0.73,-1.09,-0.0,-3.39,-0.0,-0.0,0.0,-0.0,-52.07,-0.0,-14.33,-0.0,0.0
[L L L L L L],[L L2 L L2 L1 L2],[(L L2) L (L2) (L1) (L2)],0.0,-71.19,-0.73,-3.27,-0.0,0.0,-0.0,-0.0,0.0,0.0,-60.75,-0.0,-7.16,-0.0,0.0
[L L L L L L],[L L2 L L2 L1 L2],[L (L2) (L L2) (L1) (L2)],0.0,-71.19,-0.73,-3.27,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-60.75,-0.0,-7.16,-0.0,0.0
[L L L L L L],[L2 L L2 L L L1],[(L2) (L L2) L L (L1)],0.0,-71.61,-0.73,-2.18,-0.0,0.0,-0.0,-0.0,0.0,0.0,-69.43,-0.0,0.0,-0.0,0.0
[L L L L L L],[L2 L L2 L L L1],[(L2) L (L2) L (L L1)],0.0,-71.61,-0.73,-2.18,-0.0,0.0,-0.0,-0.0,0.0,0.0,-69.43,-0.0,0.0,-0.0,0.0
[L L L L L L],[L L2 L2 L L2 L1],[(L L2) (L2) (L L2) (L1)],0.0,-71.61,-0.73,-2.18,0.0,0.0,-0.0,-0.0,0.0,0.0,-69.43,-0.0,0.0,-0.0,0.0
[L L L L L L],[L L L2 L1 L2 L],[L (L L2) (L1) (L2) L],0.0,-71.84,-0.73,-2.18,-0.0,0.0,-0.0,0.0,-3.26,-0.0,-52.07,-0.0,-14.33,-0.0,0.0
[L L L L L L],[L L2 L L1 L L],[L (L2) L (L1) L L],0.0,-71.84,-0.73,-2.18,-0.0,0.0,-0.0,0.0,-3.26,-0.0,-52.07,-0.0,-14.33,-0.0,0.0
[L L L L L L],[L L2 L1 L L L2],[L (L2) (L1 L) L (L2)],0.0,-71.97,-0.73,-2.18,-0.0,-3.39,-0.0,-0.0,0.0,-0.0,-52.07,-0.0,-14.33,-0.0,0.0
[L L L L L L],[L2 L L L1 L L2],[(L2 L) L (L1) L (L2)],0.0,-71.97,-0.73,-2.18,-0.0,-3.39,-0.0,-0.0,0.0,0.0,-52.07,-0.0,-14.33,-0.0,0.0
[L L L L L L],[L L2 L L1 L2 L],[L (L2) L (L1) (L2 L)],0.0,-71.97,-0.73,-2.18,-0.0,-3.39,-0.0,-0.0,0.0,-0.0,-52.07,-0.0,-14.33,-0.0,0.0
[L L L L L L],[L L2 L L2 L1 L],[(L L2) (L L2) (L1) L],0.0,-72.26,-0.73,-1.09,-0.0,0.0,-0.0,0.0,-3.26,0.0,-60.75,-0.0,-7.16,-0.0,0.0
[L L L L L L],[L L2 L L2 L1 L2],[L (L2) L (L2) (L1) (L2)],0.0,-72.28,-0.73,-4.37,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-60.75,-0.0,-7.16,-0.0,0.0
[L L L L L L],[L L1 L L2 L L],[L (L1 L) (L2) L L],0.0,-72.62,-0.73,-1.09,-0.0,-3.39,-0.0,0.0,-3.26,-0.0,-43.39,-0.0,-21.49,-0.0,0.0
[L L L L L L],[L L2 L2 L L2 L1],[L (L2) (L2) (L L2) (L1)],0.0,-72.71,-0.73,-3.27,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-69.43,-0.0,0.0,-0.0,0.0
[L L L L L L],[L1 L L L L2 L],[(L1 L) L L (L2 L)],0.0,-70.14,-0.73,0.0,-0.0,-6.77,0.0,-0.0,0.0,0.0,-34.72,-0.0,-28.66,0.0,0.0
[L L L L L L],[L L2 L L2 L1 L2],[(L L2) (L L2) (L1) (L2)],0.0,-70.1,-0.73,-2.18,0.0,0.0,-0.0,-0.0,0.0,0.0,-60.75,-0.0,-7.16,-0.0,0.0
